idx,src_node_id,src_idx,src_optode_name,src_wl,src_coords_3d,det_node_id,det_idx,det_optode_name,det_coords_3d
1,1,1,A,735,,1,1,1,
2,1,1,A,735,,1,2,2,
3,1,1,A,735,,1,3,3,
4,1,1,A,735,,1,4,4,
5,1,1,A,735,,2,1,1,
6,1,1,A,735,,2,2,2,
7,1,1,A,735,,2,3,3,
8,1,1,A,735,,2,4,4,
9,1,1,A,735,,3,1,1,
10,1,1,A,735,,3,2,2,
11,1,1,A,735,,3,3,3,
12,1,1,A,735,,3,4,4,
13,1,1,A,735,,4,1,1,
14,1,1,A,735,,4,2,2,
15,1,1,A,735,,4,3,3,
16,1,1,A,735,,4,4,4,
17,1,1,A,735,,5,1,1,
18,1,1,A,735,,5,2,2,
19,1,1,A,735,,5,3,3,
20,1,1,A,735,,5,4,4,
21,1,1,A,735,,6,1,1,
22,1,1,A,735,,6,2,2,
23,1,1,A,735,,6,3,3,
24,1,1,A,735,,6,4,4,
25,1,1,A,735,,7,1,1,
26,1,1,A,735,,7,2,2,
27,1,1,A,735,,7,3,3,
28,1,1,A,735,,7,4,4,
29,1,1,A,735,,8,1,1,
30,1,1,A,735,,8,2,2,
31,1,1,A,735,,8,3,3,
32,1,1,A,735,,8,4,4,
33,1,1,A,735,,9,1,1,
34,1,1,A,735,,9,2,2,
35,1,1,A,735,,9,3,3,
36,1,1,A,735,,9,4,4,
37,1,1,A,735,,10,1,1,
38,1,1,A,735,,10,2,2,
39,1,1,A,735,,10,3,3,
40,1,1,A,735,,10,4,4,
41,1,1,A,735,,11,1,1,
42,1,1,A,735,,11,2,2,
43,1,1,A,735,,11,3,3,
44,1,1,A,735,,11,4,4,
45,1,1,A,735,,12,1,1,
46,1,1,A,735,,12,2,2,
47,1,1,A,735,,12,3,3,
48,1,1,A,735,,12,4,4,
49,1,2,B,735,,1,1,1,
50,1,2,B,735,,1,2,2,
51,1,2,B,735,,1,3,3,
52,1,2,B,735,,1,4,4,
53,1,2,B,735,,2,1,1,
54,1,2,B,735,,2,2,2,
55,1,2,B,735,,2,3,3,
56,1,2,B,735,,2,4,4,
57,1,2,B,735,,3,1,1,
58,1,2,B,735,,3,2,2,
59,1,2,B,735,,3,3,3,
60,1,2,B,735,,3,4,4,
61,1,2,B,735,,4,1,1,
62,1,2,B,735,,4,2,2,
63,1,2,B,735,,4,3,3,
64,1,2,B,735,,4,4,4,
65,1,2,B,735,,5,1,1,
66,1,2,B,735,,5,2,2,
67,1,2,B,735,,5,3,3,
68,1,2,B,735,,5,4,4,
69,1,2,B,735,,6,1,1,
